ASSET#,ASSET_DESC,COMPANY_NAME,ASSET_SERIAL#,ASSET_TAG,BOND,AMS_NUMBER,STATUS
2465833,T2224z -21.5" Monitor (HDMI)  AND POWER CORD AND CORD,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,V902LRH2,01E52BF,,,Gatepass in Progress
2440011,Apple Keyboard with Numeric Keypad,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,DG7617102SWDPQWAV,ISC06474743,,,Active
2441712,HW520 Over-the-head Binaural  Noise Cancelling  Additional accesory to be ordered seperately to connect to IP Phone/ PC,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,,ISC06474927,,,Active
2441713,U10 COIL CABLE,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,,ISC06474928,,,Active
2440006,Apple Magic Mouse 2,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,CC2626512M4GRHQAX,ISC06474738,,,Active
2453662,VOYAGER FOCUS HEADSET,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,,ISC06478058,,,Active
2452174,Apple HDMI to HDMI Cable (1.8 m),CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,,ISC06475893,,,Active
2467309,T2224z -21.5 Monitor (HDMI),CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,V902LR9H,01E52D1,,,Active
3594115,Apc Ups 1000va 1Kva,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,SB21938003651,0268D3C,Z03248/1920,,Gatepass in Progress
3358824,VOYAGER 8200 UC Bluetooth headset & 3.5 mm connectivity options,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,,ITM05652235,,,Active
2858717,Apple USB-C Digital AV Multiport Adapter,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,,ISC06526089,,,Active
2860913,Angular Laptop stand  (ALS),CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,,ISC06526289,,,Active
4005151,APPLE LAPTOP MACBOOK PRO 16,CSIPL-KA-SEZ-CESSNA/CSIPL-CESSNA-BGL11,C02GL7KYMD6M,ITM06746410,,,Gatepass in Progress
